"1","X","2","DATE","home_f","home_s","away_f","away_s","update-date"
"3.05","3.25","2.3","19.07. 20:30","ODRA OPOLE","ODR","RUCH CHORZÓW","RCH","202407151446"
"2.75","3.25","2.5","20.07. 19:35","STAL STALOWA WOLA","STW","GÓRNIK ŁĘCZNA","GKŁ","202407151446"
"2.62","3.25","2.62","20.07. 17:00","POGOŃ SIEDLCE","PGS","CHROBRY GŁOGÓW","CHR","202407151446"
"2.19","3.45","3.1","19.07. 18:00","POLONIA WARSZAWA","POL","ZNICZ PRUSZKÓW","ZNI","202407151446"
"2.35","3.25","3.05","20.07. 14:30","BRUK-BET TERMALICA NIECIECZA","BBT","WARTA POZNAŃ","WAR","202407151446"
"1.52","4.5","6","19.07. 18:00","JAGIELLONIA BIAŁYSTOK","JAG","PUSZCZA NIEPOŁOMICE","PUN","202407180934"
"1.75","3.8","4.7","19.07. 20:30","ŚLĄSK WROCŁAW","ŚLA","LECHIA GDAŃSK","LGD","202407180934"
"1.61","4.3","5.4","20.07. 20:15","LEGIA WARSZAWA","LEG","KGHM ZAGŁĘBIE LUBIN","ZAG","202407201208"
"6","4.4","1.53","21.07. 20:15","MOTOR LUBLIN","MOT","RAKÓW CZĘSTOCHOWA","RCZ","202407201208"
"2.39","3.25","3.1","21.07. 14:45","CRACOVIA","CRA","PIAST GLIWICE","PIA","202407201208"
"1.75","3.75","4.9","20.07. 17:30","POGOŃ SZCZECIN","POG","KORONA KIELCE","KOR","202407201208"
"2.65","3.4","2.7","20.07. 14:45","GKS KATOWICE","GKS","RADOMIAK RADOM","RAD","202407201208"
"1.84","3.9","4","21.07. 17:30","LECH POZNAŃ","LPO","GÓRNIK ZABRZE","GÓR","202407201208"
"2.8","3.4","2.5","22.07. 19:00","PGE FKS STAL MIELEC","STM","WIDZEW ŁÓDŹ","WID","202407201208"
"1.34","5.2","8.8","21.07. 12:00","WISŁA PŁOCK","WPŁ","KOTWICA KOŁOBRZEG","KOT","202407202308"
"2.7","3.5","2.55","21.07. 14:30","GKS TYCHY","TYC","MIEDŹ LEGNICA","MIE","202407202308"
"4.3","3.9","1.75","22.07. 19:00","STAL RZESZÓW","STA","ARKA GDYNIA","ARK","202407202308"
"1.91","3.8","3.95","26.07. 20:30","LECHIA GDAŃSK","LGD","MOTOR LUBLIN","MOT","202407261542"
"3.2","3.55","2.2","26.07. 20:00","KOTWICA KOŁOBRZEG","KOT","GKS TYCHY","TYC","202407261542"
"3.6","3.65","2.01","27.07. 20:15","WIDZEW ŁÓDŹ","WID","LECH POZNAŃ","LPO","202407261542"
"3.1","3.55","2.26","27.07. 14:30","CHROBRY GŁOGÓW","CHR","BRUK-BET TERMALICA NIECIECZA","BBT","202407261542"
"2.02","3.45","3.65","28.07. 12:00","ODRA OPOLE","ODR","POGOŃ SIEDLCE","PGS","202407261542"
"1.46","4.8","6","28.07. 14:30","WISŁA KRAKÓW","WIS","POLONIA WARSZAWA","POL","202407261542"
"1.91","3.6","3.95","27.07. 17:00","GÓRNIK ŁĘCZNA","GKŁ","STAL RZESZÓW","STA","202407261542"
"2.95","3.5","2.3","27.07. 19:35","WARTA POZNAŃ","WAR","WISŁA PŁOCK","WPŁ","202407261542"
"1.75","3.8","4.6","26.07. 18:00","MIEDŹ LEGNICA","MIE","STAL STALOWA WOLA","STW","202407261542"
"1.69","3.9","4.7","28.07. 17:00","RUCH CHORZÓW","RCH","ZNICZ PRUSZKÓW","ZNI","202407261542"
"2.25","3.45","3.25","27.07. 14:45","PGE FKS STAL MIELEC","STM","GKS KATOWICE","GKS","202407261542"
